regno,inc_total2014,exp_vol2014,exp_total2014,employees2014,volunteers2014,yrl2014,inc_total2015,exp_vol2015,exp_total2015,employees2015,volunteers2015,yrl2015,charityid,outcome,frlevystatus,_mfrlevy,frid,regtype,_mfrscrape,paid,thresh,zoom,vertical
200048,1529644,1000,1479488,17,141,364,1614329,1000,1422425,18,140,364,,,,master only (1),,,master only (1),0,0,0,100000
200222,4800662,551126,3850590,66,861,364,4038987,543489,3535886,61,760,364,200222,P,P,matched (3),id=0015800000ReNGmAAN,Levy Payer,matched (3),1,1,2,100000
200359,4591479,187015,4286749,91,60,364,4727645,62541,4560963,111,60,364,,,,master only (1),id=0015800000YlQ0HAAV,FR Registered Charity,matched (3),1,1,1,100000
200424,1814827,84198,2462200,24,250,364,14803015,107165,1912660,27,250,364,,,,master only (1),,,master only (1),0,0,0,100000
200468,550757,30419,611152,7,0,364,601200,30406,605288,8,0,364,,,,master only (1),,,master only (1),0,0,0,100000
200500,3485838,70170,3469835,34,0,364,3542667,74998,3781147,35,0,364,,,,master only (1),,,master only (1),0,0,0,100000
200905,697934,1313,374101,2,120,364,797438,2249,289016,2,100,364,,,,master only (1),,,master only (1),0,0,0,100000
201081,4160447,170062,4606015,90,873,364,4306563,233328,4630140,92,900,364,201081,P,P,matched (3),id=0015800000YlM0JAAV,Levy Payer,matched (3),1,1,1,100000
201240,2402727,54551,1655686,47,292,364,1242564,53834,1411067,44,304,364,,,,master only (1),id=0015800000YlGw4AAF,FR Registered Charity,matched (3),1,0,0,100000
201476,5583000,53000,4460000,57,0,364,5151000,0,4059000,59,20,364,,,,master only (1),,,master only (1),0,0,0,100000
201654,827447,18204,842399,19,316,364,708660,30533,880652,23,405,364,,,,master only (1),,,master only (1),0,0,0,100000
202631,765498,113977,758911,6,0,364,833016,0,666303,5,0,364,,,,master only (1),,,master only (1),0,1,1,100000
202751,903362,2334,875560,10,22,364,922648,5703,921525,10,29,364,,,,master only (1),,,master only (1),0,0,0,100000
202918,389100000,25500000,365100000,4855,22000,364,401400000,24300000,387800000,5203,26000,364,202918,P,P,matched (3),id=0015800000OJS1xAAH,Levy Payer,matched (3),1,1,2,100000
203043,563518,11689,558222,5,50,364,554417,14206,455742,4,150,364,,,,master only (1),,,master only (1),0,0,0,100000
203048,1635380,47227,1693425,14,150,364,1090214,146,1009642,15,170,364,,,,master only (1),,,master only (1),0,0,0,100000
203520,1352960,517,1236272,82,40,364,1566812,1004,1433740,85,40,364,,,,master only (1),,,master only (1),0,0,0,100000
203644,45713000,7339000,38756000,439,9700,364,55862000,10292000,47850000,475,9800,364,203644,P,P,matched (3),id=0015800000OJS2RAAX,Levy Payer,matched (3),1,1,2,100000
204330,5630417,975185,4713321,87,1564,364,5435763,828301,5356930,104,1336,364,204330,P,P,matched (3),id=0015800000ReN9uAAF,Levy Payer,matched (3),1,1,2,100000
205154,1531756,18011,1057738,36,85,364,1344059,19361,1054407,36,85,364,,,,master only (1),,,master only (1),0,0,0,100000
205220,1970640,129369,1835735,44,18,364,1917190,167569,1845111,40,16,364,205220,P,P,matched (3),id=0015800000YlOliAAF,Levy Payer,matched (3),1,1,1,100000
205311,618891,13317,682770,18,136,364,1390385,0,765199,23,187,364,,,,master only (1),,,master only (1),0,0,0,100000
205395,6660000,1918000,4937000,58,1000,364,6112000,1878000,5343000,64,500,364,205395,P,P,matched (3),id=0015800000QM6U1AAL,Levy Payer,matched (3),1,1,2,100000
205563,1610289,2543,1415450,28,8,364,1691655,0,1470731,28,12,364,,,,master only (1),,,master only (1),0,0,0,100000
205594,1739573,179724,1563226,53,200,364,1539312,169626,1535363,45,300,364,205594,P,P,matched (3),id=0015800000YkuOcAAJ,Levy Payer,matched (3),1,1,1,100000
205798,886012,1374,858660,4,0,364,1074549,1058,930832,4,0,364,,,,master only (1),,,master only (1),0,0,0,100000
205846,460298000,2726000,467937000,5572,60000,364,494108000,2706000,499902000,5899,62000,364,205846,P,P,matched (3),id=0015800000H3k63AAB,Levy Payer,matched (3),1,1,2,100000
205858,1472859,8227,1678690,49,250,364,2120659,3124,1680954,52,300,364,,,,master only (1),,,master only (1),0,0,0,100000
205907,31867000,717000,32741000,625,150,364,36511000,733000,33960000,625,102,364,205907,P,P,matched (3),id=0015800000ReNBxAAN,Levy Payer,matched (3),1,1,2,100000
206002,17385000,2216000,16002000,302,50,364,14961000,2518000,16918000,282,55,364,206002,P,P,matched (3),id=0015800000QM6TjAAL,Levy Payer,matched (3),1,1,2,100000
206003,880567,85744,969843,7,150,364,1011977,78942,1067524,9,150,364,,,,master only (1),,,master only (1),0,0,0,100000
206186,19884000,876000,17219000,347,238,364,16515000,821000,16497000,339,212,364,206186,P,P,matched (3),,,master only (1),1,1,2,100000
206219,16630000,215000,16526000,263,0,364,16173000,141000,15681000,262,0,364,206219,P,P,matched (3),id=0015800000XLSHHAA5,Levy Payer,matched (3),1,1,2,100000
206222,4156573,73008,4143373,93,50,364,4328383,78831,4180175,92,50,364,,,,master only (1),,,master only (1),0,0,0,100000
206243,5251268,81002,4867008,73,35,364,5993391,81096,5249076,76,41,364,,,,master only (1),id=0015800000Ykxj3AAB,FR Registered Charity,matched (3),1,0,0,100000
206394,33566315,13826166,30391715,365,1042,364,36716707,12018282,28505441,389,1211,364,206394,P,P,matched (3),id=0015800000OJS28AAH,Levy Payer,matched (3),1,1,2,100000
206451,2458110,411111,2510894,57,30,364,2936641,660662,2518903,60,42,364,206451,P,P,matched (3),id=0015800000XLS9iAAH,Levy Payer,matched (3),1,1,2,100000
206563,4472000,810000,4421000,60,890,364,4669000,853000,4927000,70,914,364,206563,P,P,matched (3),id=0015800000ReNAwAAN,Levy Payer,matched (3),1,1,2,100000
206629,747702,19287,741150,23,24,364,669665,5265,652555,22,40,364,,,,master only (1),,,master only (1),0,0,0,100000
206630,638087,3517,509379,18,100,364,623776,5316,588798,22,100,364,,,,master only (1),,,master only (1),0,0,0,100000
